,csv_list,downloaded
0,Spindasis kuyaniana.csv,False
1,Aloeides thyra.csv,True
2,Cigaritis seliga.csv,True
3,Aloeides maluti.csv,True
4,Chrysoritis midas.csv,True
5,Cigaritis menelas.csv,False
6,Axiocerses croesus.csv,False
7,Chrysoritis uranus.csv,False
8,Cigaritis acamas.csv,False
9,Cigaritis crustaria.csv,False
10,Aloeides aranda.csv,False
11,Aloeides quickelbergei.csv,False
12,Cigaritis larseni.csv,False
13,Zeritis neriene.csv,False
14,Cigaritis takanonis.csv,False
15,Cigaritis abnormis.csv,False
16,Axiocerses coalescens.csv,False
17,Chrysoritis pyramus.csv,False
18,Chrysoritis rileyi.csv,False
19,Axiocerses harpax.csv,False
20,Aloeides macmasteri.csv,False
21,Cigaritis leechi.csv,False
22,Cigaritis vulcanus.csv,False
23,Zeritis sorhagenii.csv,False
24,Aloeides dicksoni.csv,False
25,Chrysoritis phosphor.csv,False
26,Cigaritis ictis.csv,False
27,Cigaritis lohita.csv,False
28,Aloeides depicta.csv,False
29,Cigaritis ella.csv,False
30,Aphnaeus hutchinsonii.csv,False
31,Chrysoritis natalensis.csv,False
32,Aloeides caffrariae.csv,False
33,Aloeides almeida.csv,False
34,Cigaritis homeyeri.csv,False
35,Chrysoritis lycegenes.csv,False
36,Axiocerses amanga.csv,False
37,Chrysoritis pyroeis.csv,False
38,Aloeides vansoni.csv,False
39,Cigaritis nilus.csv,False
40,Lipaphnaeus aderna.csv,False
41,Cigaritis phanes.csv,False
42,Cigaritis rukmini.csv,False
43,Chrysoritis thysbe.csv,False
44,Aloeides juana.csv,False
45,Argyraspodes argyraspis.csv,False
46,Cigaritis elima.csv,False
47,Cigaritis montana.csv,False
48,Aphnaeus lilacinus.csv,False
49,Chrysoritis endymion.csv,False
50,Cigaritis syama.csv,False
51,Crudaria wykehami.csv,False
52,Aloeides damarensis.csv,False
53,Chrysoritis palmus.csv,False
54,Aloeides taikosama.csv,False
55,Phasis thero.csv,False
56,Aphnaeus orcas.csv,False
57,Aloeides susanae.csv,False
58,Aloeides apicalis.csv,False
59,Aphnaeus questiauxi.csv,False
60,Aloeides margaretae.csv,False
61,Spindasis leechi.csv,False
62,Chrysoritis chrysaor.csv,False
63,Cigaritis epargyros.csv,False
64,Chrysoritis braueri.csv,False
65,Aloeides oreas.csv,False
66,Cigaritis natalensis.csv,False
67,Aloeides dryas.csv,False
68,Crudaria leroma.csv,False
69,Aloeides barklyi.csv,False
70,Cigaritis cilissa.csv,False
71,Phasis clavum.csv,False
72,Crudaria capensis.csv,False
73,Chrysoritis aridus.csv,False
74,Aloeides penningtoni.csv,False
75,Aloeides swanepoeli.csv,False
76,Cigaritis nipalicus.csv,False
77,Trimenia argyroplaga.csv,False
78,Axiocerses tjoane.csv,False
79,Chrysoritis plutus.csv,False
80,Cigaritis schistacea.csv,False
81,Cigaritis namaquus.csv,False
82,Chrysoritis aethon.csv,False
83,Spindasis zhengweilie.csv,False
84,Aphnaeus flavescens.csv,False
85,Aloeides pierus.csv,False
86,Tylopaedia sardonyx.csv,False
87,Aloeides bamptoni.csv,False
88,Aloeides dentatis.csv,False
89,Cigaritis maximus.csv,False
90,Chrysoritis chrysantas.csv,False
91,Chrysoritis pan.csv,False
92,Cigaritis mozambica.csv,False
93,Phasis braueri.csv,False
94,Aloeides henningi.csv,False
